score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings
2,False,3.8834951456310733,False,False,True,True,0.3608280585216158,4485.0,4485.0,225535300.0,225.5353,5282.16650390625,0.8490834199723292,-0.15091658002767083,-0.05527041090996132,88.11837805467762,1.9647352966483302,-0.12912621359223297,-0.15091658002767083,34.94332932316383,15.542168645373392,44.753677406205696,,3,trend_break;trailing_stop;di_bear,True,False,False,False,True,False,True,False,False,1301.T,,4485.0,7.782135,0.71999604,576.32,6229.201,53269626880.0,,1754274600.0,1754620200.0,True,,,True,1754274600.0,2025-08-04,-200.0
5,True,58.19327731092437,True,False,True,True,0.2665728539563795,4116.0,4116.0,845201718.5,845.2017185,4176.0,0.985632183908046,-0.11398467432950188,0.1467889909817015,67.49093681880862,1.639721497055603,-0.001697792869269965,-0.014367816091954033,12.211400812970123,33.23952905335279,21.143699536510415,fund_small_mcap,0,,False,False,False,False,False,False,False,False,False,1305.T,,4116.0,18.417997,,223.47707,,,,,,True,,,False,,,
0,False,58.06451612903226,False,False,True,True,0.42722295861901777,407.1000061035156,407.1000061035156,6469317047.598251,6469.3170475982515,4131.0,0.09854756865250923,-0.9100944096111149,-0.8675223080825603,53.93999946965368,13.249815441156748,-0.0002455945494048706,-0.9014524313474908,72.44997728719115,9.93465950044948,75.46630699189218,fund_small_mcap,2,trend_break;di_bear,True,False,False,False,False,False,True,False,False,1306.T,,407.1,18.407434,,22.116064,,,,,,True,,,False,,,
5,True,58.02197802197802,True,False,True,True,0.26724535526275034,4021.0,4021.0,947415216.65,947.4152166499999,4086.0,0.9840920215369554,-0.11698482623592754,0.14544698355182573,66.3664688418132,1.6504966138227606,-0.000497141436738735,-0.015907978463044592,12.45527258781655,33.57305438792888,20.798318676024273,fund_small_mcap,0,,False,False,False,False,False,False,False,False,False,1308.T,,4021.0,18.41103,,218.40169,,,,,,True,,,False,,,
4,True,57.03839122486289,False,True,False,True,0.3700063679535486,55210.0,55210.0,6701512.0,6.701512,57490.0,0.9603409288571926,-0.4658119658119658,0.062062663813210905,992.582109751928,1.79783030203211,-0.0061206120612060655,-0.021099290780141833,15.649326265420562,23.632442977356277,20.0383062878923,"fund_low_adv20,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1309.T,,55210.0,13.97313,,3951.1548,,,,,,True,,,False,,,
5,True,53.46153846153846,False,False,True,True,0.2657242347821059,1984.0,1984.0,33839472.8,33.839472799999996,2011.0,0.9865738438587768,-0.14754519681306788,0.11943034552557408,36.78492835622499,1.854079050212953,-0.013426156141223222,-0.013426156141223222,13.193546080843548,28.52475686185958,18.449653131707823,"fund_low_adv20,fund_small_mcap",1,macd_sell_like,False,False,True,False,False,False,False,False,False,1311.T,,1984.0,18.668581,,106.27482,,,,,,True,,,False,,,
5,True,62.614924129968145,True,False,True,False,0.18406795902792308,725.0,725.0,2044014.9963378906,2.0440149963378906,734.2999877929688,0.9873348931668635,-0.11882992658996772,0.13509057587332118,10.278257620982675,1.417690706342438,0.0,-0.012665106833136486,13.244476041439185,55.694546489623285,33.19704660858628,"fund_low_adv20,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1319.T,,725.0,18.005957,,40.264454,,,,,,True,,,False,,,
4,True,69.64601769911505,False,False,True,False,0.28775422216504004,65070.0,65070.0,2312322316.0,2312.322316,65690.0,0.9905617293347542,-0.16120856109184722,0.25750818578499746,1311.6933371882467,2.0158188676628965,-0.00943827066524583,-0.00943827066524583,38.047687696631954,47.358437926336414,11.062924925443655,fund_small_mcap,0,ext_dev200,False,False,False,False,False,True,False,False,False,1320.T,,65070.0,25.207603,,2581.364,,,,,,True,,,False,,,
4,True,69.93810786914236,False,False,True,True,0.28762989264162847,65370.0,65370.0,22920674640.0,22920.67464,65880.0,0.9922586520947176,-0.16065274640886285,0.25867905128294,1315.6207625733928,2.0125757420428223,-0.007741347905282359,-0.007741347905282359,38.221656705788,46.74859488479662,10.844051864099523,fund_small_mcap,0,ext_dev200,False,False,False,False,False,True,False,False,False,1321.T,,65370.0,25.145569,,2599.6628,,,,,,True,,,False,,,
6,True,62.893081761006286,True,True,False,False,0.3667361152572776,12200.0,12200.0,7880808.5,7.8808085,12200.0,1.0,-0.4582006920415225,0.14699114607449326,238.5251873549795,1.9551244865162254,0.0,0.0,32.00497377035774,27.14875070649736,13.301917039386577,"fund_low_adv20,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1322.T,,12200.0,17.550219,,695.1481,,,,,,True,,,False,,,
4,True,27.17041619218034,False,False,False,True,0.30390632467693734,323.5,323.5,23322506.69770813,23.32250669770813,351.8999938964844,0.9192952702782979,-0.15471982100050696,0.23807373606593818,8.645078120401648,2.6723579970329667,-0.08070472972170206,-0.08070472972170206,18.85467660034523,17.317086132724928,34.710749851698694,"fund_low_adv20,fund_small_mcap",3,cross_sma25_down;macd_sell_like;trailing_stop;ext_dev200,False,True,True,False,True,True,False,False,False,1325.T,,323.5,13.039422,,24.809381,,,,,,True,,,False,,,
4,True,29.82456140350878,False,False,True,True,0.08036541360267907,67290.0,67290.0,955899041.0,955.899041,78570.0,0.8564337533409698,-0.9935746394210125,0.16410472206958682,1233.1468892588105,1.8325856579860462,-0.042544109277177,-0.13308425663488788,13.331899735208264,25.69205790046189,37.078854638784506,"fund_neg_eps,fund_small_mcap",1,macd_sell_like,False,False,True,False,False,False,False,False,False,1326.T,,67290.0,-57.91889633042605,395.78397,-1161.797,170.017,,,,,True,,,False,,,
4,True,29.6875,False,False,True,True,0.4119212333609545,17360.0,17360.0,675082257.5,675.0822575,20285.0,0.8558047818585162,-0.20236628050283456,0.11310057177847632,301.99351204437676,1.739593963389267,-0.04299889746416763,-0.1337325349301397,16.93472251146155,24.54411173573858,36.715265234309086,"fund_neg_eps,fund_small_mcap",1,macd_sell_like,False,False,True,False,False,False,False,False,False,1328.T,,17360.0,,,,,,,,,True,,,False,,,
4,True,69.02127659574468,False,False,True,False,0.286806575582694,6496.0,6496.0,3933221253.9,3933.2212539,6563.0,0.9897912539996953,-0.16175831763130522,0.2577942720764672,133.0420805160338,2.0480615842985497,-0.010208746000304747,-0.010208746000304747,38.009378571275676,46.27332021563701,10.76383518451055,fund_small_mcap,0,ext_dev200,False,False,False,False,False,True,False,False,False,1329.T,,6496.0,25.14702,,258.32086,,,,,,True,,,False,,,
4,True,70.39007092198581,False,False,True,False,0.2885644538416384,65500.0,65500.0,2641332874.5,2641.3328745,66010.0,0.9922738978942585,-0.1611200425032261,0.25964203088911497,1313.8521300611364,2.005881114597155,-0.007726102105741539,-0.007726102105741539,37.92744506243639,47.312491822624544,11.139954758121545,fund_small_mcap,0,ext_dev200,False,False,False,False,False,True,False,False,False,1330.T,,65500.0,25.143858,,2605.01,,,,,,True,,,False,,,
3,True,14.319809069212411,False,False,True,True,0.4688257594180278,1204.0,1204.0,1792456637.5,1792.4566375,1539.71826171875,0.7819612392308734,-0.21803876076912665,0.037273316910301224,30.53712069425587,2.536305705502979,-0.12690355329949243,-0.21803876076912665,31.557504643223808,12.67177983705284,31.336817533414557,earnings_blackout,2,trailing_stop;di_bear,False,False,False,False,True,False,True,False,False,1332.T,,1204.0,13.717671,1.2857684,87.77,936.405,365140312064.0,1778740200.0,1778740200.0,1778740200.0,True,,,True,1778740200.0,2026-05-14,3.0
