ticker,error
1432.T,no_valid_positive_volume_bars
1445.T,no_valid_positive_volume_bars
1452.T,no_valid_positive_volume_bars
2452.T,no_valid_positive_volume_bars
2985.T,no_valid_positive_volume_bars
2992.T,no_valid_positive_volume_bars
2994.T,no_valid_positive_volume_bars
2995.T,no_valid_positive_volume_bars
3448.T,no_valid_positive_volume_bars
3483.T,no_valid_positive_volume_bars
3541.T,no_valid_positive_volume_bars
3738.T,no_valid_positive_volume_bars
3857.T,no_valid_positive_volume_bars
4449.T,no_valid_positive_volume_bars
4659.T,no_valid_positive_volume_bars
5009.T,no_valid_positive_volume_bars
5037.T,no_valid_positive_volume_bars
5072.T,no_valid_positive_volume_bars
5077.T,no_valid_positive_volume_bars
5130.T,no_valid_positive_volume_bars
5135.T,no_valid_positive_volume_bars
5249.T,no_valid_positive_volume_bars
5251.T,no_valid_positive_volume_bars
5525.T,no_valid_positive_volume_bars
5528.T,no_valid_positive_volume_bars
5531.T,no_valid_positive_volume_bars
5534.T,no_valid_positive_volume_bars
5536.T,no_valid_positive_volume_bars
5573.T,no_valid_positive_volume_bars
5584.T,no_valid_positive_volume_bars
5594.T,no_valid_positive_volume_bars
5620.T,no_valid_positive_volume_bars
5622.T,no_valid_positive_volume_bars
5886.T,no_valid_positive_volume_bars
5887.T,no_valid_positive_volume_bars
5890.T,no_valid_positive_volume_bars
5893.T,no_valid_positive_volume_bars
6168.T,no_valid_positive_volume_bars
6174.T,no_valid_positive_volume_bars
6527.T,no_valid_positive_volume_bars
6565.T,no_valid_positive_volume_bars
6576.T,no_valid_positive_volume_bars
6695.T,no_valid_positive_volume_bars
7098.T,no_valid_positive_volume_bars
7105.T,no_valid_positive_volume_bars
7132.T,no_valid_positive_volume_bars
7342.T,no_valid_positive_volume_bars
7355.T,no_valid_positive_volume_bars
7364.T,no_valid_positive_volume_bars
7690.T,no_valid_positive_volume_bars
7693.T,no_valid_positive_volume_bars
8209.T,no_valid_positive_volume_bars
8279.T,no_valid_positive_volume_bars
8890.T,no_valid_positive_volume_bars
8921.T,no_valid_positive_volume_bars
9146.T,no_valid_positive_volume_bars
9149.T,no_valid_positive_volume_bars
9156.T,no_valid_positive_volume_bars
9167.T,no_valid_positive_volume_bars
9169.T,no_valid_positive_volume_bars
9226.T,no_valid_positive_volume_bars
9239.T,no_valid_positive_volume_bars
9334.T,no_valid_positive_volume_bars
9335.T,no_valid_positive_volume_bars
9927.T,no_valid_positive_volume_bars
