score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,price_date,bar_is_current,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings
1,False,3.9955604883462854,False,True,False,False,0.2810725269892135,1336.0,1336.0,66609250.0,66.60925,2180.0,0.6128440366972477,-0.38715596330275226,-0.12371319972583239,102.85080426931096,7.6984134932118975,-0.38715596330275226,-0.38715596330275226,41.404717761338205,8.084049025225934,56.717194106201774,"fund_neg_eps,fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,4196.T,2026-09-18,True,,1336.0,-88.53545394300862,4.0743012,-15.09,327.909,3300114944.0,,1755241200.0,1755241200.0,True,,,False,1755241200.0,2025-08-15,-285.0
1,False,6.08695652173914,False,True,False,False,0.41305840482218315,596.0,596.0,5064880.0,5.06488,936.0,0.6367521367521367,-0.36352657004830913,-0.1624155037452395,10.936410733411037,1.8349682438609123,-0.14978601997146934,-0.17222222222222228,27.481270611926128,4.803037879044408,68.10755091168582,"fund_neg_eps,fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,7112.T,2026-09-18,True,,596.0,-43.001443001443,3.3501403,-13.86,177.903,3649824256.0,,1747292400.0,1747292400.0,True,,,False,1747292400.0,2025-05-15,-351.0
1,False,35.690235690235696,False,True,False,True,0.39084937888225596,1235.5,1235.5,3114152932.5,3114.1529325,1936.04443359375,0.6381568411147589,-0.3618431588852411,-0.228866269315952,33.762598014469006,2.732707245201862,-0.091770011031156,-0.23973388474548563,34.626520815198155,13.652233802270604,36.04124456521775,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,7649.T,2026-09-18,True,,1235.5,9.943662,1.5214993,124.25,812.028,459741495296.0,1791441000.0,1791441000.0,1791441000.0,True,,,True,1791441000.0,2026-10-08,14.0
1,False,26.524822695035468,False,True,False,True,0.38667642930534296,1710.0,1710.0,2432747662.5,2432.7476625,2236.0,0.7647584973166368,-0.2352415026833632,-0.04862389610747908,44.917965747542155,2.626781622663284,-0.10306845003933907,-0.2352415026833632,33.07643921656073,14.049927264601465,30.290939105691645,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,4536.T,2026-09-18,True,,1710.0,15.03561,1.8291802,113.73,934.845,549276450816.0,1793860200.0,1793860200.0,1793860200.0,True,,,True,1793860200.0,2026-11-05,34.0
1,False,27.08757637474541,False,True,False,True,0.46537610799467777,1163.0,1163.0,2102427227.5,2102.4272275,1539.71826171875,0.7553329910510845,-0.24466700894891547,-0.09245147884285343,26.17039850885169,2.2502492269004035,-0.10331534309946033,-0.13241327862737784,20.923502899863728,18.350199681222428,31.222937877701973,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,1332.T,2026-09-18,True,,1163.0,12.9035845,1.1541122,90.13,1007.701,352705150976.0,1793946600.0,1793946600.0,1793946600.0,True,,,True,1793946600.0,2026-11-06,35.0
1,False,25.619834710743802,False,True,False,False,0.3632135004788448,998.0,998.0,110145605.0,110.145605,1230.883544921875,0.8107996927226317,-0.18920030727736825,-0.09124848516284156,15.64777910050148,1.5679137375251986,-0.10412926391382404,-0.11360936981453118,32.50269282485666,8.683733136623223,39.800369624159835,"fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,9979.T,2026-09-18,True,,998.0,25.170238,1.8006283,39.65,554.251,20943104000.0,,1752476400.0,1752822000.0,True,,,False,1752476400.0,2025-07-14,-309.0
1,False,12.569832402234638,False,False,True,False,0.2836385828719231,458.0,458.0,39210680.0,39.21068,729.0,0.6282578875171467,-0.6247619047619047,-0.11502714818464621,33.167320296999165,7.241772990611171,-0.37174211248285327,-0.37174211248285327,37.29713087532874,12.739330448081834,50.00194895135051,"fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;natr_spike,True,False,True,False,True,False,True,False,True,3195.T,2026-09-18,True,,458.0,23.4511,1.805837,19.53,253.622,3739775744.0,,1749794400.0,1749794400.0,True,,,False,1749794400.0,2025-06-13,-330.0
0,False,33.33333333333333,False,True,False,False,0.2273117910598262,17.0,17.0,33514085.0,33.514085,64.0,0.265625,-0.7788461538461539,-0.4231421784865965,1.2051963574449969,7.089390337911746,-0.19047619047619047,-0.3928571428571429,71.06027576436854,0.9854276387421547,24.0894323011501,"fund_neg_eps,fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,2134.T,2026-09-18,True,,17.0,-6.827309236947791,1.8922528,-2.49,8.984,9637902336.0,,1747296000.0,1747296000.0,True,,,False,1747296000.0,2025-05-15,-351.0
0,False,9.523809523809518,False,True,False,True,0.41138410213558213,51.0,51.0,32975635.0,32.975635,738.0,0.06910569105691057,-0.93375,-0.8035439137134053,4.642456898608278,9.1028566639378,-0.29166666666666663,-0.6357142857142857,22.54321014650389,11.061495550683986,32.699243759636374,"fund_neg_eps,fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,3133.T,2026-09-18,True,,51.0,-0.5795454545454546,3.3512945,-88.0,15.218,3549894912.0,,1747297800.0,1747297800.0,True,,,False,1747297800.0,2025-05-15,-351.0
2,False,44.019138755980855,False,True,False,True,0.4749937487207602,1529.0,1529.0,29898435.0,29.898435,2475.0,0.6177777777777778,-0.418989898989899,-0.08857892226990938,55.79398838480851,3.649050908097352,-0.08661887694145753,-0.20859213250517594,9.774819776638973,18.246039045739217,27.34961540345715,"fund_low_adv20,fund_small_mcap",5,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;vol_distribution,True,True,True,False,True,False,False,True,False,3446.T,2026-09-18,True,,1529.0,152.74725,3.1649892,10.01,483.098,9028003840.0,,1747027800.0,1747027800.0,True,,,False,1747027800.0,2025-05-12,-354.0
2,False,39.11111111111111,False,False,True,False,0.35865781686332965,453.0,453.0,18409485.0,18.409485,578.0,0.7837370242214533,-0.36170212765957444,-0.010182231350784443,20.880252156576965,4.609327186882332,-0.18671454219030525,-0.18671454219030525,26.137953917909243,14.997078768870454,32.576405793560426,"fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;natr_spike,True,False,True,False,True,False,True,False,True,4014.T,2026-09-18,True,,453.0,11.830765,4.830712,38.29,93.775,3028839168.0,,1757570400.0,1757916000.0,True,,,False,1757570400.0,2025-09-11,-266.0
0,False,30.769230769230774,False,True,False,False,0.5158451487126487,17.0,17.0,13010420.0,13.01042,78.0,0.21794871794871795,-0.9259259259259259,-0.5632626846499679,1.6127087619054707,9.486522128855711,-0.2272727272727273,-0.3928571428571429,22.057315234577477,6.135143537153639,24.590312808241382,"fund_neg_eps,fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,8894.T,2026-09-18,True,,17.0,-2.1794871794871797,2.962705,-7.8,5.738,2565881600.0,,1750057200.0,1750057200.0,True,,,False,1750057200.0,2025-06-16,-329.0
