score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,price_date,bar_is_current,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings,earn_date_raw_stale,earn_date_source,earn_date_lookup_error
4,False,41.3793103448276,False,False,False,True,0.5364289906176215,4665.0,4665.0,194507425.0,194.507425,5282.16650390625,0.8831603465264025,-0.211497782790468,-0.0042381771766624,68.78929365719911,1.474582929414772,-0.0250783699059561,-0.0250783699059561,26.268109246147738,19.759074400639896,20.83853703316229,fund_low_adv20,3,trend_break;macd_sell_like;di_bear,True,False,True,False,False,False,True,False,False,1301.T,2026-09-04,True,,4665.0,8.097131,0.7004061,576.13,6660.422,55419625472.0,,,,True,,,False,,,,True,unknown_stale_rejected,
1,False,28.956228956228955,False,True,False,True,0.4674877984038832,1229.5,1229.5,1872065342.5,1872.0653425,1539.71826171875,0.7985227106597664,-0.2300539459234215,-0.0399657754167606,28.064009304417628,2.2825546404569037,-0.0614503816793893,-0.082804923535994,16.936178332692663,18.03582061969601,23.501079987277382,,3,trend_break;macd_sell_like;vol_distribution,True,False,True,False,False,False,False,True,False,1332.T,2026-09-04,True,,1229.5,14.245163,1.220104,86.31,1007.701,372872740864.0,1793946600.0,1793946600.0,1793946600.0,True,,,True,1793946600.0,2026-11-06,45.0,False,,
4,False,48.83720930232558,False,False,False,True,0.584618032636328,1280.0,1280.0,643103105.0,643.103105,1555.943359375,0.8226520536802557,-0.233262578093324,-0.0380762221638397,19.3979948043138,1.5154683440870154,-0.0236460717009916,-0.0714544795067102,10.95611416540616,15.52134711071976,20.575370259279826,,2,trend_break;macd_sell_like,True,False,True,False,False,False,False,False,False,1333.T,2026-09-04,True,,1280.0,8.849558,0.7806054,144.64,1639.753,193514618880.0,1785825000.0,1794205800.0,1794205800.0,True,,,True,1794205800.0,2026-11-09,46.0,False,,
6,True,69.90291262135922,False,False,True,True,0.4013918462590456,1174.0,1174.0,48589350.0,48.58935,1204.0,0.9750830564784052,-0.1733511514839113,0.089652787943959,14.481174368873916,1.2334901506706917,-0.0092827004219409,-0.0249169435215946,20.60472818114222,26.686191406929492,18.97176802481896,fund_low_adv20,0,,False,False,False,False,False,False,False,False,False,1375.T,2026-09-04,True,,1174.0,15.899242,3.4144583,73.84,343.832,46822436864.0,,,,True,,,False,,,,True,unknown_stale_rejected,
4,True,55.23809523809524,False,False,True,True,0.4570936825775886,1637.0,1637.0,24296240.0,24.29624,1751.0362548828125,0.9348749892728838,-0.2246873346272565,0.1026899671878684,25.577011543062756,1.562431981860889,-0.0066747572815534,-0.0066747572815534,35.05018117628726,25.53835316576778,12.41045531811496,"fund_low_adv20,fund_small_mcap",1,macd_sell_like,False,False,True,False,False,False,False,False,False,1376.T,2026-09-04,True,,1637.0,13.605386,0.67123175,120.32,2438.8,17951422464.0,,,,True,,,False,,,,True,unknown_stale_rejected,
7,True,46.39175257731959,False,False,True,True,0.319988789349376,4345.0,4345.0,391235750.0,391.23575,4565.0654296875,0.9517935869535687,-0.1277056436802337,0.0350651754691349,66.72600557601892,1.5356963308634963,-0.0397790055248619,-0.0397790055248619,30.35502367642792,24.7662749690966,19.49358030674132,,1,macd_sell_like,False,False,True,False,False,False,False,False,False,1377.T,2026-09-04,True,,4345.0,15.456034,1.0288873,281.12,4223.009,183618289664.0,1791268200.0,1791268200.0,1791268200.0,True,,,True,1791268200.0,2026-10-06,22.0,False,,
5,True,78.0701754385965,False,False,True,False,0.3865053062294595,2135.0,2135.0,251061840.0,251.06184,2179.0,0.9798072510325836,-0.1294659509020873,0.102873303137283,35.59050315110612,1.6670024895131672,-0.0201927489674162,-0.0201927489674162,45.85152152347967,35.00353463952281,13.27021625913278,,0,,False,False,False,False,False,False,False,False,False,1379.T,2026-09-04,True,,2135.0,11.261143,1.0382464,189.59,2056.352,66971049984.0,,,,True,,,True,,,,True,unknown_stale_rejected,
6,False,50.0,True,False,True,True,0.3891829955710366,1000.0,1000.0,1242980.0,1.24298,1080.0,0.925925925925926,-0.0861111111111111,-0.0081941457247775,5.242111792879363,0.5242111792879363,-0.0039840637450199,-0.0186457311089303,35.372673238335274,33.14014965618654,16.276398778964378,"fund_low_adv20,fund_small_mcap",1,trend_break,True,False,False,False,False,False,False,False,False,1380.T,2026-09-04,True,,1000.0,192.3077,1.939127,5.2,515.696,4169122048.0,,,,True,,,False,,,,True,unknown_stale_rejected,
4,False,74.28571428571428,True,False,True,True,0.5389160912495207,3590.0,3590.0,18472650.0,18.47265,4337.5810546875,0.8276502397852346,-0.239420901941899,-0.038364049485254,58.15289974199353,1.619857931531853,-0.0013908205841446,-0.0090268041056474,21.60106576505412,27.25402486988837,18.27185597485028,"fund_low_adv20,fund_small_mcap",2,trend_break;rsi_reversal,True,False,False,True,False,False,False,False,False,1381.T,2026-09-04,True,,3590.0,6.844614,0.83711565,524.5,4288.535,20160256000.0,,,,True,,,False,,,,True,unknown_stale_rejected,
1,False,40.625,False,False,True,True,0.2683902935581372,875.0,875.0,2470550.0,2.47055,3055.862060546875,0.2863349139009928,-0.7283908816710583,-0.4207320533102651,23.53091390948748,2.689247303941426,-0.063169164882227,-0.3897306343557644,31.317539998428547,20.149658722349823,29.956907276092647,"fund_neg_eps,fund_low_adv20,fund_small_mcap",2,trend_break;di_bear,True,False,False,False,False,False,True,False,False,1382.T,2026-09-04,True,,875.0,-23.92671588733935,0.96582526,-36.57,905.961,666417472.0,,,,True,,,False,,,,True,unknown_stale_rejected,
4,False,29.545454545454547,False,False,True,True,0.5244027448810985,2994.0,2994.0,3408015.0,3.408015,3360.0,0.8910714285714286,-0.1859757768497426,-0.0238924651605572,17.32941357745949,0.5788047287060618,-0.0118811881188118,-0.0118811881188118,25.8675636939027,19.50744185804093,10.914158072460278,"fund_low_adv20,fund_small_mcap",1,trend_break,True,False,False,False,False,False,False,False,False,1383.T,2026-09-04,True,,2994.0,45.453163,2.290376,65.87,1307.209,4791465984.0,,,,True,,,False,,,,True,unknown_stale_rejected,
2,False,52.991452991453,False,False,True,False,0.6211563201265892,2207.0,2207.0,42731030.0,42.73103,3186.655517578125,0.6925756448495354,-0.3858765124737014,-0.1412530259865932,36.09726162677858,1.6355804996274843,-0.019111111111111,-0.019111111111111,29.849899898069605,26.13961873310781,17.375692015542686,"fund_low_adv20,fund_small_mcap",2,trend_break;macd_sell_like,True,False,True,False,False,False,False,False,False,1384.T,2026-09-04,True,,2207.0,4.85439,1.8855578,454.64,1170.476,18668654592.0,,,,True,,,False,,,,True,unknown_stale_rejected,
